"strain","time_hr","log_A600"
"DH5A",4.99986111111111,2.06487897588675
"DH5A",5.49986111111111,2.10380372095596
"DH5A",5.99983333333333,2.15408145455532
"DH5A",6.49983333333333,2.20061113259757
"DH5A",6.99980555555556,2.24551266781415
"DH5A",7.49980555555556,2.29214526781412
"DH5A",7.99980555555556,2.3380827997781
"DH5A",8.49977777777778,2.38016600034671
"DH5A",8.99977777777778,2.4158702415356
"DH5A",9.49975,2.44768119606122
"DRAD",10.9997222222222,1.998422822138
"DRAD",11.4997222222222,2.00577018602533
"DRAD",11.9996944444444,2.01304799611523
"DRAD",12.4996944444444,2.02160271602824
"DRAD",12.9996944444444,2.03059972196595
"DRAD",13.4996666666667,2.03956282470127
"DRAD",13.9996666666667,2.04916954959888
"DRAD",14.4996388888889,2.05856836164577
"DRAD",14.9996388888889,2.06823225825087
"DRAD",15.4996111111111,2.07727703919283
"DRAD",15.9996111111111,2.08791445333881
"DRAD",16.4996111111111,2.09743085394424
"DRAD",16.9996111111111,2.10742197574527
"DRAD",17.4995833333333,2.11785107287038
"DRAD",17.9995555555556,2.12880300071853
"DRAD",18.4995555555556,2.13920982042168
"DRAD",18.9995555555556,2.15044940946088
"DRAD",19.4995277777778,2.16267640063081
"DRAD",19.9995277777778,2.1735504566784
"DRAD",20.4995277777778,2.1855067412708
"DRAD",20.9995,2.19745286302052
"DRAD",21.4995,2.2105525957798
"DRAD",21.9994722222222,2.22222859113158
"DRAD",22.4994722222222,2.23407415813741
"DRAD",22.9994444444444,2.24619072334908
"DRAD",23.4994444444444,2.2573485296496
"1F5",2.99991666666667,2.10856502373283
"1F5",3.49988888888889,2.20766802188794
"1F5",3.99988888888889,2.29092455938275
"1F5",4.49988888888889,2.35415647791543
"1FH2",3.49988888888889,2.06604624660477
"1FH2",3.99988888888889,2.11760269169008
"1FH2",4.49988888888889,2.15037261793351
"1FH2",4.99986111111111,2.17267589122379
"1FH2",5.49986111111111,2.19917216250233
"1FH2",5.99983333333333,2.23044892137827
"1FH2",6.49983333333333,2.26033975630953
"1FH2",6.99980555555556,2.29106344917315
"1FH2",7.49980555555556,2.3182981663144
"1FH2",7.99980555555556,2.33710968829722
"1FH2",8.49977777777778,2.35943229272011
"1FH2",8.99977777777778,2.37957743332781
"1FH2",9.99975,2.42007957907043
"1FH2",10.49975,2.44645949659469
"1FH2",10.9997222222222,2.47376059885567
"CM1",3.99988888888889,2.1185540490955
"CM1",4.49988888888889,2.19444496022533
"CM1",4.99986111111111,2.25172944920223
"CM1",5.49986111111111,2.29882579574875
"CM1",5.99983333333333,2.33912833325567
