"strain","slope","doubling_hr","adj_r_sq"
"CONTROL",0,Inf,0
"DH5A",0.0875069877500921,3.43972530353364,0.997132149775983
"DRAD",0.0209537828708968,14.364947935872,0.995915288937691
"1F5",0.114704001839912,2.6241455849125,0.959084481612014
"1FH2",0.0518300290358065,5.80744417086966,0.990325488855019
"CM1",0.109108979330629,2.75870970333148,0.978525903246109
