"strain","intercept","slope","adj_r_sq"
"CONTROL",0,0,0
"DH5A",1.62987421364407,0.0875069877500921,0.997132149775983
"DRAD",1.75705264451457,0.0209537828708968,0.995915288937691
"1F5",1.79666987739224,0.114704001839912,0.959084481612014
"1FH2",1.91351222881748,0.0518300290358065,0.990325488855019
"CM1",1.69500616871626,0.109108979330629,0.978525903246109
