"strain","time_hr","log_A600"
"1F5",0,2.03562983526053
"1F5",0.499972222222222,1.97439654107766
"1F5",0.999944444444445,1.98187521120879
"1F5",1.49994444444444,1.99629271854132
"1F5",1.99994444444444,2.01999852845046
"1F5",2.49991666666667,2.05307844348342
"1F5",2.99991666666667,2.10856502373283
"1F5",3.49988888888889,2.20766802188794
"1F5",3.99988888888889,2.29092455938275
"1F5",4.49988888888889,2.35415647791543
"1F5",4.99986111111111,2.39637372753651
"1F5",5.49986111111111,2.42971191618604
"1F5",5.99983333333333,2.47022667818193
"1F5",6.49983333333333,2.50470867384884
"1F5",6.99980555555556,2.5220038469735
"1F5",7.49980555555556,2.53698432202569
"1F5",7.99980555555556,2.55634773741978
"1F5",8.49977777777778,2.57639894512424
"1F5",8.99977777777778,2.59116203396213
"1F5",9.49975,2.6040369533786
"1F5",9.99975,2.61539763121062
"1F5",10.49975,2.62505509126116
"1F5",10.9997222222222,2.63353157519047
"1F5",11.4997222222222,2.64133775236169
"1F5",11.9996944444444,2.64642823424948
"1F5",12.4996944444444,2.65198026623375
"1F5",12.9996944444444,2.65551059635062
"1F5",13.4996666666667,2.65864328859297
"1F5",13.9996666666667,2.65995183546354
"1F5",14.4996388888889,2.66112616608574
"1F5",14.9996388888889,2.66180085818444
"1F5",15.4996111111111,2.66213190237038
"1F5",15.9996111111111,2.66193094135335
"1F5",16.4996111111111,2.66142221272491
"1F5",16.9996111111111,2.6612919770656
"1F5",17.4995833333333,2.66154057489775
"1F5",17.9995555555556,2.66171805769466
"1F5",18.4995555555556,2.66216735642827
"1F5",18.9995555555556,2.6629702063951
"1F5",19.4995277777778,2.665135211818
"1F5",19.9995277777778,2.66554581455437
"1F5",20.4995277777778,2.66846745574568
"1F5",20.9995,2.67128857742114
"1F5",21.4995,2.67315919545419
"1F5",21.9994722222222,2.6756867086994
"1F5",22.4994722222222,2.67753851857661
"1F5",22.9994444444444,2.68119599601069
"1F5",23.4994444444444,2.68463219996162
"1F5",23.9994444444444,2.68765156298627
"1FH2",0,2.06121679088291
"1FH2",0.499972222222222,1.9638468307397
"1FH2",0.999944444444445,1.96702116837246
"1FH2",1.49994444444444,1.97092771687024
"1FH2",1.99994444444444,1.97778074554048
"1FH2",2.49991666666667,1.98637979697756
"1FH2",2.99991666666667,1.99393196906842
"1FH2",3.49988888888889,2.06604624660477
"1FH2",3.99988888888889,2.11760269169008
"1FH2",4.49988888888889,2.15037261793351
"1FH2",4.99986111111111,2.17267589122379
"1FH2",5.49986111111111,2.19917216250233
"1FH2",5.99983333333333,2.23044892137827
"1FH2",6.49983333333333,2.26033975630953
"1FH2",6.99980555555556,2.29106344917315
"1FH2",7.49980555555556,2.3182981663144
"1FH2",7.99980555555556,2.33710968829722
"1FH2",8.49977777777778,2.35943229272011
"1FH2",8.99977777777778,2.37957743332781
"1FH2",9.49975,2.39392600658584
"1FH2",9.99975,2.42007957907043
"1FH2",10.49975,2.44645949659469
"1FH2",10.9997222222222,2.47376059885567
"1FH2",11.4997222222222,2.48872693662131
"1FH2",11.9996944444444,2.49321399677022
"1FH2",12.4996944444444,2.50350128390521
"1FH2",12.9996944444444,2.51183324718588
"1FH2",13.4996666666667,2.50995818232593
"1FH2",13.9996666666667,2.50620051364851
"1FH2",14.4996388888889,2.50448785333896
"1FH2",14.9996388888889,2.50336502931155
"1FH2",15.4996111111111,2.5066741172744
"1FH2",15.9996111111111,2.50458978444925
"1FH2",16.4996111111111,2.50531959147649
"1FH2",16.9996111111111,2.50174372962799
"1FH2",17.4995833333333,2.50124759831898
"1FH2",17.9995555555556,2.5039097913845
"1FH2",18.4995555555556,2.50433491180246
"1FH2",18.9995555555556,2.50604817416192
"1FH2",19.4995277777778,2.5085128855256
"1FH2",19.9995277777778,2.50871484382348
"1FH2",20.4995277777778,2.50733291997543
"1FH2",20.9995,2.50326281030545
"1FH2",21.4995,2.49996186559619
"1FH2",21.9994722222222,2.49538821322781
"1FH2",22.4994722222222,2.49323143376385
"1FH2",22.9994444444444,2.49580442008655
"1FH2",23.4994444444444,2.49717162375292
"1FH2",23.9994444444444,2.49654912797233
"CM1",0,2.09416531157578
"CM1",0.499972222222222,1.97272340184781
"CM1",0.999944444444445,1.9733587998864
"CM1",1.49994444444444,1.97577634996478
"CM1",1.99994444444444,1.98323149956754
"CM1",2.49991666666667,1.99503158854916
"CM1",2.99991666666667,2.01859648849166
"CM1",3.49988888888889,2.04620241442008
"CM1",3.99988888888889,2.1185540490955
"CM1",4.49988888888889,2.19444496022533
"CM1",4.99986111111111,2.25172944920223
"CM1",5.49986111111111,2.29882579574875
"CM1",5.99983333333333,2.33912833325567
"CM1",6.49983333333333,2.36231750953915
"CM1",6.99980555555556,2.38309692994909
"CM1",7.49980555555556,2.3929606147968
"CM1",7.99980555555556,2.39746202180094
"CM1",8.49977777777778,2.4020893505721
"CM1",8.99977777777778,2.39937082091844
"CM1",9.49975,2.4059436805122
"CM1",9.99975,2.41008096107305
"CM1",10.49975,2.41776223283981
"CM1",10.9997222222222,2.42232304267537
"CM1",11.4997222222222,2.42205608149881
"CM1",11.9996944444444,2.42502447316645
"CM1",12.4996944444444,2.42819555859507
"CM1",12.9996944444444,2.43174561453441
"CM1",13.4996666666667,2.43719545247852
"CM1",13.9996666666667,2.44116470556499
"CM1",14.4996388888889,2.44410337485599
"CM1",14.9996388888889,2.44684771015581
"CM1",15.4996111111111,2.44766183082447
"CM1",15.9996111111111,2.45088391532906
"CM1",16.4996111111111,2.4570677777554
"CM1",16.9996111111111,2.46209838113516
"CM1",17.4995833333333,2.46506668304303
"CM1",17.9995555555556,2.46788546236703
"CM1",18.4995555555556,2.47142007305761
"CM1",18.9995555555556,2.47565303182108
"CM1",19.4995277777778,2.47998896682015
"CM1",19.9995277777778,2.48138887585889
"CM1",20.4995277777778,2.48540197484386
"CM1",20.9995,2.48936073766409
"CM1",21.4995,2.49235872532393
"CM1",21.9994722222222,2.49498897368317
"CM1",22.4994722222222,2.49746527022696
"CM1",22.9994444444444,2.50208555922605
"CM1",23.4994444444444,2.50802443155896
"CM1",23.9994444444444,2.50883260947426
"CONTROL",0,1.97034688332518
"CONTROL",0.499972222222222,1.97040499526423
"CONTROL",0.999944444444445,1.97226070958735
"CONTROL",1.49994444444444,1.97144981007907
"CONTROL",1.99994444444444,1.97197127639976
"CONTROL",2.49991666666667,1.97330107482724
"CONTROL",2.99991666666667,1.97156574560616
"CONTROL",3.49988888888889,1.97295456325415
"CONTROL",3.99988888888889,1.97353192904233
"CONTROL",4.49988888888889,1.97115983578646
"CONTROL",4.99986111111111,1.97214495945822
"CONTROL",5.49986111111111,1.97098575823109
"CONTROL",5.99983333333333,1.97208707282276
"CONTROL",6.49983333333333,1.97156574560616
"CONTROL",6.99980555555556,1.97156574560616
"CONTROL",7.49980555555556,1.97226070958735
"CONTROL",7.99980555555556,1.97162370176584
"CONTROL",8.49977777777778,1.96982345462845
"CONTROL",8.99977777777778,1.97156574560616
"CONTROL",9.49975,1.97063739365474
"CONTROL",9.99975,1.97104379183603
"CONTROL",10.49975,1.96900798728228
"CONTROL",10.9997222222222,1.96941591235398
"CONTROL",11.4997222222222,1.97023061482346
"CONTROL",11.9996944444444,1.97098575823109
"CONTROL",12.4996944444444,1.9698816437465
"CONTROL",12.9996944444444,1.96941591235398
"CONTROL",13.4996666666667,1.9698816437465
"CONTROL",13.9996666666667,1.9701143222851
"CONTROL",14.4996388888889,1.97034687623009
"CONTROL",14.9996388888889,1.97139183070752
"CONTROL",15.4996111111111,1.97005616433631
"CONTROL",15.9996111111111,1.96976525771287
"CONTROL",16.4996111111111,1.97040499526423
"CONTROL",16.9996111111111,1.97046310652168
"CONTROL",17.4995833333333,1.96982345462845
"CONTROL",17.9995555555556,1.97069547382626
"CONTROL",18.4995555555556,1.97086966775141
"CONTROL",18.9995555555556,1.97057930571485
"CONTROL",19.4995277777778,1.97081161087252
"CONTROL",19.9995277777778,1.9702887494172
"CONTROL",20.4995277777778,1.97063739365474
"CONTROL",20.9995,1.9699398250691
"CONTROL",21.4995,1.97069547382626
"CONTROL",21.9994722222222,1.96964884048073
"CONTROL",22.4994722222222,1.9712178461361
"CONTROL",22.9994444444444,1.9701143222851
"CONTROL",23.4994444444444,1.97156574560616
"CONTROL",23.9994444444444,1.97104379183603
"DH5A",0,2.09937845654199
"DH5A",0.499972222222222,1.96035184162176
"DH5A",0.999944444444445,1.96502521833527
"DH5A",1.49994444444444,1.96743096302082
"DH5A",1.99994444444444,1.97104379183603
"DH5A",2.49991666666667,1.97657921864011
"DH5A",2.99991666666667,1.98463981029609
"DH5A",3.49988888888889,1.99426214735237
"DH5A",3.99988888888889,2.01014088412162
"DH5A",4.49988888888889,2.03241727883277
"DH5A",4.99986111111111,2.06487897588675
"DH5A",5.49986111111111,2.10380372095596
"DH5A",5.99983333333333,2.15408145455532
"DH5A",6.49983333333333,2.20061113259757
"DH5A",6.99980555555556,2.24551266781415
"DH5A",7.49980555555556,2.29214526781412
"DH5A",7.99980555555556,2.3380827997781
"DH5A",8.49977777777778,2.38016600034671
"DH5A",8.99977777777778,2.4158702415356
"DH5A",9.49975,2.44768119606122
"DH5A",9.99975,2.46658961256787
"DH5A",10.49975,2.48983548218034
"DH5A",10.9997222222222,2.50684313633935
"DH5A",11.4997222222222,2.51889213777331
"DH5A",11.9996944444444,2.53053585804442
"DH5A",12.4996944444444,2.54065788747896
"DH5A",12.9996944444444,2.5533823289832
"DH5A",13.4996666666667,2.56513915196979
"DH5A",13.9996666666667,2.57513008916165
"DH5A",14.4996388888889,2.58617925876608
"DH5A",14.9996388888889,2.59773631034976
"DH5A",15.4996111111111,2.60748183068864
"DH5A",15.9996111111111,2.61719698793517
"DH5A",16.4996111111111,2.62731463960088
"DH5A",16.9996111111111,2.63800227469248
"DH5A",17.4995833333333,2.64909135184739
"DH5A",17.9995555555556,2.65765331406277
"DH5A",18.4995555555556,2.66728947796676
"DH5A",18.9995555555556,2.67633917216521
"DH5A",19.4995277777778,2.68597673130636
"DH5A",19.9995277777778,2.69455036030961
"DH5A",20.4995277777778,2.70275355206615
"DH5A",20.9995,2.71080466554922
"DH5A",21.4995,2.71783686748693
"DH5A",21.9994722222222,2.72547262611683
"DH5A",22.4994722222222,2.7331370537496
"DH5A",22.9994444444444,2.73933496019608
"DH5A",23.4994444444444,2.74464497110512
"DH5A",23.9994444444444,2.74935942866622
"DRAD",0,2.10114538342294
"DRAD",0.499972222222222,1.96378782734556
"DRAD",0.999944444444445,1.96449533955509
"DRAD",1.49994444444444,1.9649663748311
"DRAD",1.99994444444444,1.96578945924514
"DRAD",2.49991666666667,1.96602433998743
"DRAD",2.99991666666667,1.96649372072148
"DRAD",3.49988888888889,1.96614173273903
"DRAD",3.99988888888889,1.96684542365492
"DRAD",4.49988888888889,1.96620041721745
"DRAD",4.99986111111111,1.9669040131298
"DRAD",5.49986111111111,1.96737244459698
"DRAD",5.99983333333333,1.96830779449554
"DRAD",6.49983333333333,1.96813256976776
"DRAD",6.99980555555556,1.96935766079707
"DRAD",7.49980555555556,1.97040499526423
"DRAD",7.99980555555556,1.97202917847062
"DRAD",8.49977777777778,1.97439654107766
"DRAD",8.99977777777778,1.97812342926308
"DRAD",9.49975,1.98289282436303
"DRAD",9.99975,1.98665978827209
"DRAD",10.49975,1.99189030393602
"DRAD",10.9997222222222,1.998422822138
"DRAD",11.4997222222222,2.00577018602533
"DRAD",11.9996944444444,2.01304799611523
"DRAD",12.4996944444444,2.02160271602824
"DRAD",12.9996944444444,2.03059972196595
"DRAD",13.4996666666667,2.03956282470127
"DRAD",13.9996666666667,2.04916954959888
"DRAD",14.4996388888889,2.05856836164577
"DRAD",14.9996388888889,2.06823225825087
"DRAD",15.4996111111111,2.07727703919283
"DRAD",15.9996111111111,2.08791445333881
"DRAD",16.4996111111111,2.09743085394424
"DRAD",16.9996111111111,2.10742197574527
"DRAD",17.4995833333333,2.11785107287038
"DRAD",17.9995555555556,2.12880300071853
"DRAD",18.4995555555556,2.13920982042168
"DRAD",18.9995555555556,2.15044940946088
"DRAD",19.4995277777778,2.16267640063081
"DRAD",19.9995277777778,2.1735504566784
"DRAD",20.4995277777778,2.1855067412708
"DRAD",20.9995,2.19745286302052
"DRAD",21.4995,2.2105525957798
"DRAD",21.9994722222222,2.22222859113158
"DRAD",22.4994722222222,2.23407415813741
"DRAD",22.9994444444444,2.24619072334908
"DRAD",23.4994444444444,2.2573485296496
"DRAD",23.9994444444444,2.26887036702073
